location,size,total_sqft,bath,price,bhk,price_per_sqft
other,1 BHK,1300.0,1.0,200.0,1,15384
Bannerghatta Road,2 BHK,793.0,2.0,45.0,2,5674
Jakkur,3 BHK,1710.0,3.0,107.0,3,6257
Kambipura,3 BHK,1082.0,2.0,57.5,3,5314
other,2 BHK,1001.0,2.0,33.03,2,3299
other,4 Bedroom,1500.0,4.0,180.0,4,12000
Yelahanka,3 BHK,1590.0,2.0,54.0,3,3396
other,3 BHK,2400.0,2.0,80.0,3,3333
Horamavu Banaswadi,3 BHK,1554.0,3.0,55.0,3,3539
Thanisandra,2 BHK,1142.5,2.0,43.415,2,3800
Bellandur,5 BHK,4239.0,5.0,423.0,5,9978
Konanakunte,2 Bedroom,884.0,1.0,58.0,2,6561
Hosa Road,2 BHK,1045.0,2.0,98.89,2,9463
Marathahalli,2 BHK,1019.0,2.0,49.86,2,4893
Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718
Uttarahalli,3 BHK,1135.0,2.0,39.73,3,3500
Lakshminarayana Pura,3 BHK,1680.0,3.0,150.0,3,8928
Hebbal,4 BHK,2470.0,5.0,247.0,4,10000
1st Phase JP Nagar,4 BHK,2825.0,4.0,250.0,4,8849
Hosakerehalli,3 BHK,2480.0,3.0,330.0,3,13306
5th Phase JP Nagar,9 Bedroom,1260.0,11.0,290.0,9,23015
Ramamurthy Nagar,5 Bedroom,1800.0,4.0,187.0,5,10388
Kasavanhalli,3 BHK,1799.0,3.0,90.0,3,5002
Attibele,1 BHK,400.0,1.0,11.0,1,2750
Kundalahalli,2 BHK,1047.0,2.0,82.0,2,7831
other,2 BHK,1282.0,2.0,87.0,2,6786
NGR Layout,2 BHK,1020.0,2.0,45.9,2,4500
Kammanahalli,4 Bedroom,1080.0,3.0,155.0,4,14351
Whitefield,2 BHK,1495.0,2.0,79.5,2,5317
Kasavanhalli,4 Bedroom,3260.0,4.0,240.0,4,7361
other,3 BHK,1611.0,2.0,64.44,3,4000
Koramangala,4 BHK,3500.0,5.0,425.0,4,12142
other,3 Bedroom,1500.0,2.0,95.0,3,6333
Sahakara Nagar,3 BHK,1500.0,2.0,95.0,3,6333
Yelahanka,4 Bedroom,3206.0,5.0,270.0,4,8421
Uttarahalli,3 BHK,1540.0,3.0,50.0,3,3246
Hosa Road,3 BHK,1639.0,3.0,80.0,3,4881
Marathahalli,4 Bedroom,700.0,4.0,72.0,4,10285
Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,55.79,2,4281
Koramangala,2 BHK,1005.0,1.0,110.0,2,10945
Kammasandra,1 BHK,657.5,1.0,18.41,1,2800
Chandapura,3 BHK,1305.0,3.0,33.28,3,2550
Kothannur,3 Bedroom,600.0,4.0,95.0,3,15833
other,2 BHK,1300.0,1.0,115.0,2,8846
Brookefield,3 BHK,1440.0,2.0,68.0,3,4722
Seegehalli,2 BHK,901.0,2.0,35.14,2,3900
Rajaji Nagar,3 BHK,1725.0,3.0,200.0,3,11594
Sarjapur,3 BHK,900.0,2.0,42.0,3,4666
BEML Layout,2 BHK,1060.0,2.0,55.0,2,5188
NGR Layout,2 BHK,1020.0,2.0,48.45,2,4750
Varthur,3 BHK,1535.0,3.0,65.99,3,4299
other,1 BHK,530.0,1.0,20.0,1,3773
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825
other,2 BHK,1350.0,2.0,80.0,2,5925
Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2,4484
Uttarahalli,2 BHK,1175.0,2.0,47.0,2,4000
Whitefield,2 BHK,1113.0,2.0,62.0,2,5570
Uttarahalli,6 Bedroom,1200.0,4.0,225.0,6,18750
Ramamurthy Nagar,5 Bedroom,1640.0,4.0,240.0,5,14634
Giri Nagar,2 BHK,650.0,2.0,42.0,2,6461
Marathahalli,2 BHK,1325.0,2.0,71.55,2,5400
Electronics City Phase 1,2 BHK,950.0,2.0,31.0,2,3263
Jakkur,3 BHK,1396.0,2.0,86.51,3,6196
Rachenahalli,2 BHK,1050.0,2.0,52.07,2,4959
Thanisandra,3 BHK,1825.0,3.0,100.0,3,5479
7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200
Marathahalli,2 BHK,1220.0,2.0,56.5,2,4631
NRI Layout,3 BHK,1565.0,2.0,75.0,3,4792
Hennur Road,3 BHK,1891.0,3.0,109.0,3,5764
other,2 BHK,900.0,2.0,27.0,2,3000
Hosa Road,2 BHK,1161.0,2.0,55.15,2,4750
Sarjapur,1 BHK,649.5,1.0,17.535,1,2699
other,8 Bedroom,2400.0,6.0,125.0,8,5208
Rajaji Nagar,4 Bedroom,315.0,4.0,90.0,4,28571
Yeshwanthpur,1 BHK,665.0,1.0,36.85,1,5541
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255
Hoodi,2 BHK,1425.0,2.0,80.0,2,5614
Chikkabanavar,1 Bedroom,1200.0,1.0,20.0,1,1666
ITPL,3 Bedroom,1200.0,3.0,56.12,3,4676
Somasundara Palya,2 BHK,1255.0,2.0,67.0,2,5338
Hegde Nagar,3 BHK,2112.95,4.0,145.0,3,6862
Raja Rajeshwari Nagar,1 BHK,600.0,1.0,22.0,1,3666
Haralur Road,3 BHK,1810.0,3.0,100.0,3,5524
Indira Nagar,2 BHK,1200.0,2.0,93.0,2,7750
Harlur,2 BHK,1033.0,2.0,49.0,2,4743
ITPL,3 BHK,1548.0,3.0,89.5,3,5781
Horamavu Banaswadi,3 BHK,1611.0,3.0,66.0,3,4096
Electronic City Phase II,3 BHK,1400.0,2.0,40.43,3,2887
Vidyaranyapura,3 BHK,1485.0,2.0,67.0,3,4511
Margondanahalli,2 Bedroom,2400.0,2.0,82.0,2,3416
Pattandur Agrahara,2 BHK,1025.0,2.0,44.5,2,4341
other,4 Bedroom,600.0,3.0,65.0,4,10833
other,2 BHK,1225.0,2.0,53.0,2,4326
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000
Whitefield,4 BHK,2268.0,3.0,163.0,4,7186
Kanakpura Road,3 BHK,1100.0,3.0,53.0,3,4818
other,2 BHK,1141.0,2.0,62.0,2,5433
Attibele,1 BHK,400.0,1.0,12.0,1,3000
Chandapura,2 Bedroom,1400.0,2.0,60.0,2,4285
other,7 BHK,4100.0,7.0,140.0,7,3414
other,1 BHK,15.0,1.0,30.0,1,200000
other,2 BHK,1175.0,2.0,48.27,2,4108
Sahakara Nagar,2 BHK,1100.0,2.0,56.0,2,5090
Kanakpura Road,3 BHK,1843.0,3.0,95.84,3,5200
1st Phase JP Nagar,8 Bedroom,1200.0,7.0,240.0,8,20000
Horamavu Banaswadi,2 BHK,1460.0,2.0,80.5,2,5513
Rachenahalli,3 BHK,1530.0,2.0,74.5,3,4869
HSR Layout,2 BHK,1467.0,2.0,55.0,2,3749
other,1 BHK,950.0,1.0,40.0,1,4210
Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176
Kanakapura,1 BHK,711.0,1.0,38.0,1,5344
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852
Babusapalaya,3 BHK,1358.0,2.0,43.4,3,3195
Nagasandra,6 Bedroom,1500.0,5.0,130.0,6,8666
Hoodi,2 BHK,1420.0,2.0,75.0,2,5281
Kathriguppe,3 BHK,1250.0,2.0,68.75,3,5500
Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2,4531
other,2 BHK,1209.0,2.0,50.0,2,4135
other,5 Bedroom,4200.0,5.0,225.0,5,5357
other,4 Bedroom,1215.0,4.0,205.0,4,16872
Panathur,3 BHK,1315.0,2.0,54.8,3,4167
other,3 BHK,1800.0,3.0,90.0,3,5000
other,5 Bedroom,1600.0,4.0,125.0,5,7812
TC Palaya,3 BHK,1600.0,2.0,65.0,3,4062
other,6 Bedroom,3968.0,5.0,900.0,6,22681
other,3 BHK,1563.0,3.0,52.0,3,3326
Whitefield,3 BHK,1560.0,2.0,72.0,3,4615
Brookefield,3 BHK,2169.0,4.0,115.0,3,5301
other,9 Bedroom,900.0,10.0,170.0,9,18888
Rachenahalli,2 BHK,1050.0,2.0,55.5,2,5285
Iblur Village,3 BHK,3235.0,3.0,235.0,3,7264
TC Palaya,3 Bedroom,1200.0,3.0,66.0,3,5500
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035
7th Phase JP Nagar,3 Bedroom,1500.0,3.0,170.0,3,11333
Horamavu Agara,3 BHK,1560.0,3.0,75.0,3,4807
JP Nagar,2 BHK,1100.0,2.0,70.0,2,6363
Kasavanhalli,3 BHK,1260.0,2.0,40.32,3,3200
Hebbal,2 BHK,1036.0,2.0,50.0,2,4826
Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120
Yelachenahalli,3 BHK,1464.0,2.0,105.0,3,7172
Yelahanka,2 BHK,1234.0,2.0,80.0,2,6482
Sarjapur  Road,3 BHK,1403.0,3.0,55.0,3,3920
other,4 Bedroom,915.0,4.0,54.9,4,6000
2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,451.0,6,15033
Seegehalli,3 BHK,1150.0,2.0,42.9,3,3730
Hebbal,4 BHK,3900.0,4.0,410.0,4,10512
Yeshwanthpur,5 Bedroom,850.0,4.0,90.0,5,10588
Kanakapura,2 BHK,929.0,2.0,46.0,2,4951
2nd Stage Nagarbhavi,6 Bedroom,2400.0,8.0,450.0,6,18750
TC Palaya,3 Bedroom,1350.0,2.0,75.0,3,5555
Vasanthapura,2 BHK,1135.0,2.0,39.73,2,3500
other,2 BHK,1405.0,2.0,70.0,2,4982
Whitefield,2 Bedroom,1200.0,2.0,45.84,2,3820
Haralur Road,4 BHK,2805.0,4.0,154.0,4,5490
Yeshwanthpur,2 BHK,1161.0,2.0,64.08,2,5519
Kanakpura Road,2 BHK,1290.0,2.0,74.0,2,5736
Yeshwanthpur,3 BHK,2557.0,3.0,141.0,3,5514
other,3 BHK,1480.0,3.0,90.0,3,6081
other,9 Bedroom,3300.0,14.0,500.0,9,15151
Old Madras Road,3 BHK,1350.0,3.0,54.54,3,4040
Kadugodi,3 BHK,1580.0,2.0,65.0,3,4113
Banashankari,3 BHK,1470.0,2.0,88.64,3,6029
Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800
Sarjapur  Road,2 BHK,1346.0,2.0,61.92,2,4600
other,3 BHK,1600.0,3.0,90.0,3,5625
other,2 BHK,720.0,2.0,120.0,2,16666
other,4 Bedroom,1200.0,4.0,135.0,4,11250
other,2 BHK,1200.0,2.0,35.0,2,2916
Channasandra,3 BHK,1340.0,2.0,48.33,3,3606
Devanahalli,4 Bedroom,6136.0,4.0,560.0,4,9126
Jigani,2 BHK,918.0,2.0,48.0,2,5228
other,3 Bedroom,1500.0,3.0,115.0,3,7666
Yelahanka,2 BHK,1315.0,2.0,85.0,2,6463
other,4 Bedroom,2400.0,5.0,775.0,4,32291
Uttarahalli,3 BHK,1390.0,2.0,62.55,3,4500
Uttarahalli,3 BHK,1330.0,2.0,56.0,3,4210
Jalahalli,5 BHK,3100.0,4.0,265.0,5,8548
other,3 BHK,1824.0,3.0,125.0,3,6853
7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760
other,1 Bedroom,750.0,1.0,56.25,1,7500
Jalahalli East,3 BHK,1260.0,2.0,60.0,3,4761
Hennur Road,3 BHK,1561.0,3.0,95.0,3,6085
5th Phase JP Nagar,9 Bedroom,812.0,6.0,165.0,9,20320
other,2 BHK,1060.0,2.0,42.0,2,3962
Hoodi,8 Bedroom,1120.0,8.0,145.0,8,12946
Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500
Thanisandra,3 BHK,2144.0,3.0,135.0,3,6296
Kengeri,7 Bedroom,1200.0,6.0,140.0,7,11666
Electronic City,2 BHK,880.0,2.0,29.0,2,3295
Hoodi,3 BHK,1639.0,3.0,110.0,3,6711
Thanisandra,3 BHK,1240.0,2.0,62.0,3,5000
Kanakpura Road,2 BHK,1500.0,2.0,69.0,2,4600
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
Marathahalli,3 BHK,1575.0,3.0,78.0,3,4952
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Kambipura,3 BHK,1082.0,2.0,56.0,3,5175
Konanakunte,3 BHK,1637.0,3.0,73.0,3,4459
Kanakpura Road,3 BHK,1665.0,3.0,86.58,3,5200
Electronic City,2 BHK,1265.0,2.0,56.93,2,4500
Electronic City,3 BHK,1691.0,2.0,102.0,3,6031
Thanisandra,2 BHK,1100.0,2.0,38.0,2,3454
other,5 Bedroom,24.0,2.0,150.0,5,625000
other,3 Bedroom,1500.0,3.0,62.0,3,4133
Hosakerehalli,4 BHK,3205.0,5.0,380.0,4,11856
Kammanahalli,5 Bedroom,1666.0,4.0,150.0,5,9003
Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484
Mysore Road,2 BHK,1070.0,2.0,45.0,2,4205
Indira Nagar,2 BHK,1128.0,2.0,105.0,2,9308
Budigere,2 BHK,1162.0,2.0,57.0,2,4905
other,2 BHK,1339.0,2.0,55.0,2,4107
Mahadevpura,2 BHK,1192.0,2.0,75.0,2,6291
Haralur Road,3 BHK,1920.0,3.0,115.0,3,5989
Hennur,2 BHK,1255.0,2.0,52.32,2,4168
Rajaji Nagar,2 BHK,1357.0,2.0,115.0,2,8474
other,3 BHK,1600.0,3.0,75.0,3,4687
other,2 BHK,1225.0,2.0,55.11,2,4498
Whitefield,4 Bedroom,2400.0,4.0,200.0,4,8333
Kasturi Nagar,3 BHK,1570.0,3.0,80.0,3,5095
Thanisandra,2 BHK,1093.0,2.0,70.0,2,6404
Basaveshwara Nagar,3 BHK,1865.0,3.0,145.0,3,7774
R.T. Nagar,6 Bedroom,1200.0,7.0,165.0,6,13750
Kaikondrahalli,2 BHK,1039.0,2.0,80.0,2,7699
Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176
Whitefield,3 BHK,1985.0,3.0,75.0,3,3778
Hosakerehalli,3 BHK,1590.0,3.0,49.0,3,3081
other,4 Bedroom,4000.0,4.0,675.0,4,16875
Electronic City Phase II,2 BHK,775.0,2.0,38.0,2,4903
other,2 BHK,1000.0,2.0,50.0,2,5000
Hebbal Kempapura,3 BHK,1800.0,3.0,175.0,3,9722
Bommasandra,2 BHK,1035.0,2.0,41.0,2,3961
Dasarahalli,3 BHK,1520.0,2.0,75.0,3,4934
Whitefield,2 BHK,1360.0,2.0,95.0,2,6985
other,4 Bedroom,6000.0,5.0,400.0,4,6666
Kodigehaali,2 BHK,1117.0,2.0,56.0,2,5013
KR Puram,4 Bedroom,1200.0,4.0,120.0,4,10000
EPIP Zone,2 BHK,1330.0,2.0,92.5,2,6954
Marathahalli,3 BHK,1937.0,3.0,160.0,3,8260
Electronic City,2 BHK,1128.0,2.0,65.49,2,5805
Neeladri Nagar,2 BHK,1053.0,2.0,45.0,2,4273
Panathur,2 BHK,1198.0,2.0,77.0,2,6427
Marathahalli,2 BHK,1152.0,2.0,56.0,2,4861
1st Block Jayanagar,6 BHK,1200.0,6.0,125.0,6,10416
Frazer Town,2 BHK,1625.0,2.0,75.0,2,4615
Kundalahalli,3 BHK,1397.0,3.0,105.0,3,7516
Yeshwanthpur,3 BHK,1523.0,3.0,170.0,3,11162
Kambipura,2 BHK,883.0,2.0,45.0,2,5096
Kaggalipura,1 BHK,700.0,1.0,38.0,1,5428
Yelahanka,2 BHK,1170.0,2.0,62.5,2,5341
Kanakpura Road,3 BHK,1200.0,2.0,42.0,3,3500
other,3 BHK,2400.0,3.0,170.0,3,7083
other,2 BHK,1480.0,2.0,65.0,2,4391
Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3,6325
Rachenahalli,2 BHK,996.0,2.0,67.0,2,6726
Haralur Road,3 BHK,1875.0,3.0,110.0,3,5866
other,3 BHK,1500.0,2.0,98.0,3,6533
other,3 BHK,3095.0,3.0,350.0,3,11308
Ambalipura,3 BHK,1390.0,2.0,175.0,3,12589
Yelahanka,3 BHK,1450.0,3.0,65.255,3,4500
Yelahanka,1 BHK,697.0,1.0,45.0,1,6456
Sarjapur  Road,1 BHK,710.0,1.0,27.0,1,3802
other,2 BHK,910.0,2.0,30.5,2,3351
Sompura,3 BHK,1025.0,2.0,48.0,3,4682
Magadi Road,2 BHK,1000.0,2.0,46.5,2,4650
Harlur,4 Bedroom,1200.0,4.0,244.0,4,20333
Horamavu Agara,3 BHK,1453.0,2.0,46.48,3,3198
Sarjapur  Road,4 BHK,3335.0,5.0,300.0,4,8995
Thanisandra,2 BHK,971.5,2.0,36.435,2,3750
Bellandur,2 BHK,1281.0,2.0,74.0,2,5776
Cooke Town,1 BHK,565.0,1.0,35.0,1,6194
Varthur,2 BHK,1024.0,2.0,42.0,2,4101
Electronic City,3 BHK,1620.0,3.0,62.0,3,3827
Whitefield,2 BHK,1254.0,2.0,40.0,2,3189
Banashankari,3 BHK,1300.0,2.0,75.0,3,5769
Doddakallasandra,2 BHK,1233.0,2.0,43.0,2,3487
other,1 Bedroom,1200.0,1.0,28.0,1,2333
Hosur Road,3 BHK,1510.0,2.0,105.0,3,6953
Kaggalipura,2 BHK,950.0,2.0,65.0,2,6842
Battarahalli,3 BHK,1945.0,3.0,97.42,3,5008
Uttarahalli,2 BHK,1008.0,2.0,45.0,2,4464
Thanisandra,3 BHK,1265.0,2.0,79.0,3,6245
Hebbal,3 BHK,1255.0,2.0,77.68,3,6189
Kanakpura Road,4 BHK,2689.0,6.0,220.0,4,8181
Yelenahalli,2 BHK,1200.0,2.0,46.17,2,3847
Sarjapur  Road,3 BHK,1403.0,3.0,51.63,3,3679
Kudlu Gate,3 BHK,1535.0,3.0,85.0,3,5537
other,3 Bedroom,1500.0,3.0,100.0,3,6666
Chamrajpet,3 BHK,1475.0,2.0,120.0,3,8135
Uttarahalli,3 BHK,1390.0,2.0,60.47,3,4350
Raja Rajeshwari Nagar,3 BHK,1278.0,2.0,53.76,3,4206
other,2 BHK,1133.0,2.0,55.0,2,4854
other,5 Bedroom,1560.0,5.0,145.0,5,9294
other,5 Bedroom,2900.0,5.0,90.0,5,3103
Kogilu,2 BHK,1170.0,2.0,51.99,2,4443
Sahakara Nagar,3 Bedroom,1200.0,3.0,200.0,3,16666
Whitefield,3 BHK,1697.0,3.0,94.79,3,5585
Thanisandra,3 BHK,1651.0,3.0,97.38,3,5898
other,3 BHK,1560.0,3.0,188.0,3,12051
Hennur Road,3 BHK,1192.0,2.0,60.0,3,5033
OMBR Layout,2 BHK,1078.0,2.0,65.0,2,6029
Kumaraswami Layout,7 Bedroom,800.0,7.0,105.0,7,13125
Kasavanhalli,2 BHK,1349.0,2.0,78.0,2,5782
Ulsoor,9 Bedroom,2300.0,8.0,210.0,9,9130
7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142
Rayasandra,3 BHK,1314.0,2.0,63.0,3,4794
Garudachar Palya,2 BHK,1060.0,2.0,48.7,2,4594
Kalyan nagar,2 BHK,820.0,2.0,39.0,2,4756
Whitefield,4 Bedroom,5000.0,4.0,400.0,4,8000
BEML Layout,3 BHK,2000.0,3.0,85.0,3,4250
other,2 BHK,856.0,2.0,40.0,2,4672
Rajaji Nagar,3 BHK,1621.0,4.0,130.0,3,8019
ITPL,3 Bedroom,1200.0,3.0,68.4,3,5700
Bannerghatta Road,3 BHK,1484.0,3.0,52.5,3,3537
other,4 Bedroom,600.0,5.0,60.0,4,10000
other,4 Bedroom,14000.0,3.0,800.0,4,5714
Yelahanka New Town,1 BHK,500.0,1.0,20.0,1,4000
other,1 BHK,485.0,1.0,15.0,1,3092
7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,4000
Uttarahalli,3 BHK,1617.0,3.0,66.68,3,4123
Electronic City,2 BHK,550.0,1.0,16.0,2,2909
other,3 BHK,1384.0,3.0,62.28,3,4500
Devanahalli,2 BHK,1408.0,2.0,85.0,2,6036
Uttarahalli,2 BHK,1150.0,2.0,49.0,2,4260
Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3,5319
Kaggadasapura,4 BHK,2150.0,4.0,100.0,4,4651
Koramangala,3 BHK,2292.0,4.0,275.0,3,11998
Malleshwaram,3 BHK,2006.0,3.0,297.0,3,14805
other,3 BHK,1508.0,3.0,70.25,3,4658
Ramamurthy Nagar,2 BHK,1040.0,2.0,50.0,2,4807
TC Palaya,2 Bedroom,1240.0,2.0,60.0,2,4838
Kudlu Gate,3 BHK,1535.0,3.0,78.0,3,5081
Lakshminarayana Pura,2 BHK,1180.0,2.0,75.0,2,6355
Abbigere,6 Bedroom,2200.0,6.0,68.0,6,3090
Bannerghatta Road,2 BHK,1400.0,2.0,78.0,2,5571
Raja Rajeshwari Nagar,1 BHK,500.0,1.0,25.0,1,5000
Whitefield,4 Bedroom,4800.0,4.0,525.0,4,10937
Sarjapur  Road,3 BHK,1984.0,4.0,146.0,3,7358
Whitefield,4 Bedroom,3000.0,5.0,250.0,4,8333
Garudachar Palya,3 BHK,1960.0,3.0,160.0,3,8163
Sarjapur  Road,2 BHK,1035.0,2.0,45.0,2,4347
other,4 Bedroom,2150.0,4.0,80.0,4,3720
Whitefield,3 BHK,1700.0,3.0,115.0,3,6764
Hosakerehalli,4 BHK,3024.0,5.0,248.0,4,8201
Tumkur Road,3 BHK,1586.0,3.0,100.0,3,6305
Chikka Tirupathi,4 Bedroom,2325.0,4.0,120.0,4,5161
Yelahanka,2 BHK,1120.0,2.0,55.0,2,4910
Sarjapur  Road,2 BHK,1128.0,2.0,59.0,2,5230
5th Block Hbr Layout,6 Bedroom,1200.0,6.0,250.0,6,20833
Jigani,2 BHK,924.0,2.0,65.0,2,7034
other,3 BHK,1600.0,3.0,52.0,3,3250
Pai Layout,2 BHK,1006.0,2.0,35.0,2,3479
Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583
other,2 BHK,1250.0,2.0,62.0,2,4960
other,3 Bedroom,1200.0,3.0,130.0,3,10833
Kannamangala,2 BHK,957.0,2.0,56.0,2,5851
Whitefield,2 BHK,1140.0,2.0,41.0,2,3596
other,2 BHK,1050.0,2.0,67.0,2,6380
Kasturi Nagar,3 BHK,1565.0,3.0,88.5,3,5654
Whitefield,2 BHK,1190.0,2.0,57.0,2,4789
Whitefield,3 Bedroom,2842.0,3.0,162.0,3,5700
Kanakpura Road,3 BHK,1558.67,2.0,65.0,3,4170
Electronics City Phase 1,1 BHK,630.0,1.0,39.0,1,6190
Whitefield,3 BHK,1403.0,2.0,60.81,3,4334
Kanakpura Road,3 BHK,1542.0,2.0,85.0,3,5512
Haralur Road,4 Bedroom,2750.0,4.0,220.0,4,8000
Iblur Village,4 BHK,3596.0,5.0,290.0,4,8064
Kengeri Satellite Town,3 BHK,1635.0,2.0,78.0,3,4770
Mysore Road,2 BHK,1239.0,2.0,53.0,2,4277
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936
other,3 BHK,1596.0,3.0,105.0,3,6578
Channasandra,2 BHK,1009.0,2.0,38.34,2,3799
Hosa Road,3 BHK,1726.0,3.0,81.99,3,4750
Kudlu Gate,3 BHK,1535.0,3.0,86.0,3,5602
Banashankari Stage V,3 BHK,1300.0,2.0,58.5,3,4500
Whitefield,4 Bedroom,3100.0,4.0,465.0,4,15000
other,3 BHK,1800.0,3.0,80.0,3,4444
Binny Pete,1 BHK,665.0,1.0,50.75,1,7631
Chamrajpet,9 Bedroom,4050.0,7.0,1200.0,9,29629
TC Palaya,3 Bedroom,1500.0,2.0,100.0,3,6666
other,2 BHK,925.0,2.0,48.0,2,5189
Old Airport Road,4 BHK,3356.0,4.0,251.0,4,7479
other,2 BHK,1395.0,2.0,63.59,2,4558
Sonnenahalli,3 BHK,1415.0,2.0,55.0,3,3886
Begur,3 BHK,1419.0,2.0,59.0,3,4157
Kasavanhalli,2 BHK,1121.0,2.0,78.0,2,6958
Kambipura,3 BHK,1082.0,2.0,45.0,3,4158
KR Puram,2 BHK,1100.0,2.0,47.0,2,4272
Hoodi,3 BHK,1606.0,3.0,89.55,3,5575
Billekahalli,3 BHK,1650.0,3.0,88.0,3,5333
other,3 BHK,4634.0,4.0,1015.0,3,21903
Old Airport Road,2 BHK,1206.0,2.0,75.0,2,6218
Sarjapur  Road,3 BHK,1495.0,2.0,64.0,3,4280
Malleshwaram,8 Bedroom,840.0,7.0,195.0,8,23214
Electronic City,2 BHK,710.0,2.0,16.0,2,2253
Balagere,2 BHK,1210.0,2.0,72.0,2,5950
Nagarbhavi,3 BHK,1523.0,2.0,53.4,3,3506
Whitefield,2 BHK,1232.0,2.0,45.0,2,3652
Rachenahalli,1 BHK,680.0,1.0,44.0,1,6470
Hebbal,3 BHK,1355.0,3.0,83.87,3,6189
Thanisandra,3 BHK,1430.0,2.0,51.46,3,3598
Kothannur,3 BHK,1275.0,2.0,43.85,3,3439
Electronic City,2 BHK,1070.0,2.0,56.1,2,5242
other,3 Bedroom,1200.0,3.0,85.0,3,7083
Electronic City,4 Bedroom,2000.0,4.0,120.0,4,6000
Bommanahalli,2 BHK,1200.0,2.0,40.0,2,3333
Marathahalli,3 BHK,1610.0,3.0,90.0,3,5590
Haralur Road,2 BHK,1140.0,2.0,43.0,2,3771
Raja Rajeshwari Nagar,2 BHK,1143.0,2.0,38.65,2,3381
Jakkur,4 BHK,3467.86,6.0,249.0,4,7180
Rachenahalli,3 BHK,1530.0,2.0,74.4,3,4862
7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040
Whitefield,3 BHK,1485.0,3.0,65.0,3,4377
Whitefield,3 Bedroom,1500.0,3.0,130.0,3,8666
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859
Thanisandra,2 BHK,1265.0,2.0,85.0,2,6719
other,2 BHK,1132.0,2.0,67.0,2,5918
other,2 BHK,1262.0,2.0,63.0,2,4992
JP Nagar,2 BHK,940.0,2.0,49.0,2,5212
other,3 BHK,1515.0,3.0,88.0,3,5808
Jigani,3 BHK,1300.0,3.0,150.0,3,11538
Kothanur,3 Bedroom,1840.0,3.0,69.0,3,3750
Electronic City,2 BHK,890.0,2.0,45.0,2,5056
other,3 BHK,1655.0,3.0,86.06,3,5200
Hennur Road,3 BHK,2060.0,3.0,149.0,3,7233
Bommanahalli,3 BHK,1730.0,3.0,96.0,3,5549
Yelahanka,3 BHK,2195.0,4.0,127.0,3,5785
Kathriguppe,3 BHK,1650.0,3.0,125.0,3,7575
KR Puram,2 Bedroom,1200.0,2.0,71.0,2,5916
Hosa Road,2 BHK,1079.0,2.0,32.37,2,2999
Panathur,2 BHK,1085.0,2.0,36.0,2,3317
other,7 Bedroom,5000.0,7.0,299.0,7,5980
Yelahanka,2 BHK,1075.0,2.0,51.5,2,4790
other,2 BHK,1380.0,2.0,80.0,2,5797
other,3 BHK,1450.0,3.0,65.0,3,4482
Thubarahalli,2 BHK,1200.0,2.0,78.0,2,6500
Benson Town,3 BHK,3200.0,4.0,350.0,3,10937
Hoodi,3 BHK,1639.0,3.0,98.32,3,5998
other,2 BHK,1200.0,2.0,54.0,2,4500
Vijayanagar,3 BHK,1739.0,3.0,116.0,3,6670
other,4 Bedroom,4346.0,5.0,500.0,4,11504
Old Madras Road,2 BHK,935.0,2.0,32.72,2,3499
Thanisandra,1 RK,510.0,1.0,25.25,1,4950
other,6 Bedroom,1200.0,6.0,180.0,6,15000
other,2 BHK,1178.0,2.0,47.0,2,3989
Chikkalasandra,3 BHK,1375.0,2.0,50.0,3,3636
Chandapura,3 BHK,1065.0,2.0,33.0,3,3098
2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500
BEML Layout,2 BHK,999.0,2.0,45.0,2,4504
Amruthahalli,2 BHK,4400.0,3.0,475.0,2,10795
Marathahalli,5 Bedroom,1350.0,4.0,135.0,5,10000
Kothannur,2 BHK,1100.0,2.0,40.0,2,3636
